frame: 1, left_eye_area: 253.0, right_eye_area: 204.5, left_eye_closed: 253.0, right_eye_closed: 204.5, left_eye_threshold: 202.4, right_eye_threshold: 163.60000000000002, blinkCounter: 0
frame: 26, left_eye_area: 210.0, right_eye_area: 197.5, left_eye_closed: 210.3, right_eye_closed: 195.5, left_eye_threshold: 168.24, right_eye_threshold: 156.4, blinkCounter: 1
frame: 27, left_eye_area: 204.5, right_eye_area: 191.0, left_eye_closed: 209.5, right_eye_closed: 197.1, left_eye_threshold: 167.60000000000002, right_eye_threshold: 157.68, blinkCounter: 1
frame: 28, left_eye_area: 166.5, right_eye_area: 147.0, left_eye_closed: 207.9, right_eye_closed: 195.9, left_eye_threshold: 166.32000000000002, right_eye_threshold: 156.72000000000003, blinkCounter: 2
frame: 29, left_eye_area: 166.5, right_eye_area: 143.0, left_eye_closed: 207.9, right_eye_closed: 195.9, left_eye_threshold: 166.32000000000002, right_eye_threshold: 156.72000000000003, blinkCounter: 2
frame: 30, left_eye_area: 190.5, right_eye_area: 181.0, left_eye_closed: 207.9, right_eye_closed: 195.9, left_eye_threshold: 166.32000000000002, right_eye_threshold: 156.72000000000003, blinkCounter: 2
frame: 31, left_eye_area: 195.0, right_eye_area: 180.5, left_eye_closed: 205.9, right_eye_closed: 195.3, left_eye_threshold: 164.72000000000003, right_eye_threshold: 156.24, blinkCounter: 2
frame: 32, left_eye_area: 219.0, right_eye_area: 187.5, left_eye_closed: 203.0, right_eye_closed: 190.3, left_eye_threshold: 162.4, right_eye_threshold: 152.24, blinkCounter: 2
frame: 33, left_eye_area: 203.5, right_eye_area: 199.5, left_eye_closed: 203.8, right_eye_closed: 187.5, left_eye_threshold: 163.04000000000002, right_eye_threshold: 150.0, blinkCounter: 2
frame: 34, left_eye_area: 206.5, right_eye_area: 192.0, left_eye_closed: 202.5, right_eye_closed: 187.9, left_eye_threshold: 162.0, right_eye_threshold: 150.32000000000002, blinkCounter: 2
frame: 35, left_eye_area: 195.5, right_eye_area: 193.0, left_eye_closed: 202.9, right_eye_closed: 188.1, left_eye_threshold: 162.32000000000002, right_eye_threshold: 150.48, blinkCounter: 2
frame: 36, left_eye_area: 178.5, right_eye_area: 157.0, left_eye_closed: 203.9, right_eye_closed: 190.5, left_eye_threshold: 163.12, right_eye_threshold: 152.4, blinkCounter: 2
frame: 37, left_eye_area: 207.5, right_eye_area: 186.0, left_eye_closed: 200.6, right_eye_closed: 185.8, left_eye_threshold: 160.48000000000002, right_eye_threshold: 148.64000000000001, blinkCounter: 2
frame: 38, left_eye_area: 217.0, right_eye_area: 188.5, left_eye_closed: 198.3, right_eye_closed: 185.5, left_eye_threshold: 158.64000000000001, right_eye_threshold: 148.4, blinkCounter: 2
frame: 39, left_eye_area: 215.5, right_eye_area: 183.0, left_eye_closed: 201.0, right_eye_closed: 183.3, left_eye_threshold: 160.8, right_eye_threshold: 146.64000000000001, blinkCounter: 2
frame: 40, left_eye_area: 209.5, right_eye_area: 177.0, left_eye_closed: 202.8, right_eye_closed: 181.5, left_eye_threshold: 162.24, right_eye_threshold: 145.20000000000002, blinkCounter: 2
frame: 41, left_eye_area: 185.5, right_eye_area: 169.0, left_eye_closed: 205.6, right_eye_closed: 178.3, left_eye_threshold: 164.48000000000002, right_eye_threshold: 142.64000000000001, blinkCounter: 2
frame: 42, left_eye_area: 202.5, right_eye_area: 184.5, left_eye_closed: 207.0, right_eye_closed: 180.7, left_eye_threshold: 165.60000000000002, right_eye_threshold: 144.56, blinkCounter: 2
frame: 43, left_eye_area: 228.0, right_eye_area: 186.0, left_eye_closed: 206.0, right_eye_closed: 180.4, left_eye_threshold: 164.8, right_eye_threshold: 144.32000000000002, blinkCounter: 2
frame: 44, left_eye_area: 209.5, right_eye_area: 188.0, left_eye_closed: 208.2, right_eye_closed: 179.9, left_eye_threshold: 166.56, right_eye_threshold: 143.92000000000002, blinkCounter: 2
frame: 45, left_eye_area: 170.5, right_eye_area: 159.0, left_eye_closed: 207.0, right_eye_closed: 180.9, left_eye_threshold: 165.60000000000002, right_eye_threshold: 144.72, blinkCounter: 2
frame: 46, left_eye_area: 164.0, right_eye_area: 133.0, left_eye_closed: 199.2, right_eye_closed: 177.3, left_eye_threshold: 159.36, right_eye_threshold: 141.84, blinkCounter: 3
frame: 47, left_eye_area: 181.0, right_eye_area: 171.5, left_eye_closed: 199.2, right_eye_closed: 177.3, left_eye_threshold: 159.36, right_eye_threshold: 141.84, blinkCounter: 3
frame: 48, left_eye_area: 181.5, right_eye_area: 163.5, left_eye_closed: 198.3, right_eye_closed: 177.8, left_eye_threshold: 158.64000000000001, right_eye_threshold: 142.24, blinkCounter: 3
frame: 49, left_eye_area: 182.5, right_eye_area: 180.0, left_eye_closed: 194.1, right_eye_closed: 173.6, left_eye_threshold: 155.28, right_eye_threshold: 138.88, blinkCounter: 3
frame: 50, left_eye_area: 202.5, right_eye_area: 187.5, left_eye_closed: 185.0, right_eye_closed: 172.4, left_eye_threshold: 148.0, right_eye_threshold: 137.92000000000002, blinkCounter: 3
